Flight_ID,Date,Pilot_Name,Aircraft_Type,Origin,Destination,Flight_Duration,Passenger_Count,Flight_Type,Status,Ticket_Price
1,2/21/2026,Sydney Dorling,error: undefined method `first' for nil:NilClass,Wufeng,Iłowa,4.61,489,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2711.9
2,6/5/2026,Shana Shedden,error: undefined method `first' for nil:NilClass,Bang Racham,Nārang,2.07,438,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1220.46
3,8/9/2027,Eartha Keuneke,error: undefined method `first' for nil:NilClass,Paris 07,Agra,5.25,98,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2200.75
4,3/22/2025,Gloriana Dugald,error: undefined method `first' for nil:NilClass,Shangyanzhuang,Sumqayıt,2.99,274,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1717.72
5,3/18/2026,Gerhard MacLure,error: undefined method `first' for nil:NilClass,Hengjiang,Yasnyy,10.82,227,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1646.46
6,11/8/2027,Gabrila Wailes,error: undefined method `first' for nil:NilClass,Rakhmanovo,Arroyo Naranjo,10.89,462,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2537.83
7,4/14/2026,Jazmin Bullene,error: undefined method `first' for nil:NilClass,Balyaga,Uvarovo,14.48,148,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2898.13
8,5/12/2026,Hunter Mulcahy,error: undefined method `first' for nil:NilClass,Jinhua,Taihe,6.6,49,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1124.88
9,2/15/2026,Rory Hemms,error: undefined method `first' for nil:NilClass,Stochov,San Martin,1.92,122,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1170.73
10,1/19/2027,Maire McLaren,error: undefined method `first' for nil:NilClass,Hofors,El Crucero,15.15,268,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1590.16
11,8/15/2025,Isaac McGlaughn,error: undefined method `first' for nil:NilClass,Torzhok,Donnybrook,1.54,23,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1001.61
12,6/28/2026,Meghan Baskeyfield,error: undefined method `first' for nil:NilClass,Luyang,Chirongui,10.92,214,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,772.11
13,2/17/2025,Brooks Blessed,error: undefined method `first' for nil:NilClass,Zhongpai,Lunao,2.79,160,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1228.98
14,12/8/2025,Layton Reavey,error: undefined method `first' for nil:NilClass,Taen Tengah,Bertelhe,8.26,198,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1574.27
15,4/19/2026,Thorpe Dinsdale,error: undefined method `first' for nil:NilClass,Golbey,Eshan,17.96,249,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,970.9
16,8/25/2025,Liuka Jenks,error: undefined method `first' for nil:NilClass,Numata,Rääkkylä,15.29,63,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,401.74
17,2/7/2025,Iggie Midghall,error: undefined method `first' for nil:NilClass,Odeleite,Cermee,0.75,39,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1580.51
18,10/22/2027,Eachelle Wysome,error: undefined method `first' for nil:NilClass,Estefania,Machala,16.21,182,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,853.92
19,4/8/2026,Gusta Dregan,error: undefined method `first' for nil:NilClass,Buray,Lukou,6.95,430,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2277.35
20,8/5/2026,Natividad Pegden,error: undefined method `first' for nil:NilClass,Montilla,Shibganj,15.72,68,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2472.84
21,4/20/2026,Willis Pidduck,error: undefined method `first' for nil:NilClass,Vårby,Chichigalpa,17.96,236,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1071.08
22,11/19/2027,Britney Shutte,error: undefined method `first' for nil:NilClass,Tekstil’shchiki,Ténenkou,8.16,63,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,960.92
23,1/26/2026,Arielle Cardon,error: undefined method `first' for nil:NilClass,Karítsa,Bol’shoy Karay,10.35,56,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1068.4
24,12/30/2027,Jacynth Thamelt,error: undefined method `first' for nil:NilClass,Lubei,Primorskiy,1.89,348,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,877.25
25,1/29/2026,Kristian Pennicard,error: undefined method `first' for nil:NilClass,Martakert,Sinyavino,15.5,461,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,916.03
26,8/8/2026,Hanni Bleddon,error: undefined method `first' for nil:NilClass,Chebba,Rauma,15.85,252,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,200.01
27,5/4/2027,Augustine Lidster,error: undefined method `first' for nil:NilClass,Hengling,Giồng Riềng,17.54,218,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,958.42
28,12/29/2027,Matilda Branch,error: undefined method `first' for nil:NilClass,El Progreso,Otaru,7.86,316,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,796.3
29,4/15/2026,Mohandis Eastop,error: undefined method `first' for nil:NilClass,Jarānwāla,Tegalloa,4.34,117,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2921.23
30,9/5/2026,Charmine Siebart,error: undefined method `first' for nil:NilClass,Arkhaía Kórinthos,Sidomulyo,4.09,367,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,304.09
31,12/19/2026,Bryant Rousby,error: undefined method `first' for nil:NilClass,Bella Vista,Huangbu,12.19,59,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,308.63
32,2/8/2026,Nathalie Paulot,error: undefined method `first' for nil:NilClass,Norcasia,Krasnyy Gulyay,3.21,215,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2698.14
33,3/10/2025,Warner Moorman,error: undefined method `first' for nil:NilClass,Zambujal,Barmash,8.21,296,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,142.47
34,9/20/2025,Wendall Simes,error: undefined method `first' for nil:NilClass,Prioso Barat,Oslo,2.15,79,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2773.98
35,1/26/2025,Muhammad Kirk,error: undefined method `first' for nil:NilClass,Libertador General San Martín,Jiantang,7.12,338,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2062.3
36,4/1/2026,Arlinda Itzcak,error: undefined method `first' for nil:NilClass,Hougang,Klapagading,6.61,280,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2176.51
37,1/29/2026,Rees Ellyatt,error: undefined method `first' for nil:NilClass,Kasina Wielka,Mértola,5.8,429,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1509.29
38,5/27/2026,Berne Michelle,error: undefined method `first' for nil:NilClass,Oral,Nanxing,6.13,125,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,475.58
39,4/17/2027,Emmott Gentsch,error: undefined method `first' for nil:NilClass,Itatiba,Ayang-ni,6.08,66,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1243.01
40,8/24/2025,Walther Tregonna,error: undefined method `first' for nil:NilClass,Balakliya,Rejowinangun,15.14,143,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1483.88
41,3/18/2027,Osbourn Cinavas,error: undefined method `first' for nil:NilClass,Kupahandap,Gresik,1.48,134,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,317.41
42,9/30/2026,Layney Pagden,error: undefined method `first' for nil:NilClass,Duyure,Abóboda,9.8,63,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,656.19
43,2/22/2026,Haze Arkcoll,error: undefined method `first' for nil:NilClass,Jixin,Sever do Vouga,7.83,299,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1270.92
44,11/12/2025,Chelsie Brighouse,error: undefined method `first' for nil:NilClass,Wenlin,Marugame,3.78,519,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,755.62
45,12/29/2026,Isadora Cristofvao,error: undefined method `first' for nil:NilClass,Överkalix,Longgang,10.48,529,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,976.02
46,9/9/2027,Margi Stokey,error: undefined method `first' for nil:NilClass,Massenya,Haimen,7.34,199,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2437.43
47,2/3/2025,Romonda Gockelen,error: undefined method `first' for nil:NilClass,La Maná,Jiantiao,12.82,342,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,810.65
48,11/5/2025,Emmi Lamont,error: undefined method `first' for nil:NilClass,General Elizardo Aquino,Tongjiaxi,15.0,200,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,596.66
49,12/5/2027,Arlyn Shambrooke,error: undefined method `first' for nil:NilClass,Jeziorany,Wichit,4.74,80,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1329.03
50,12/16/2027,Anet Garmon,error: undefined method `first' for nil:NilClass,Göteborg,Rozvadov,4.04,275,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,881.51
51,10/6/2026,Moselle Benfell,error: undefined method `first' for nil:NilClass,Ipoh,Shanshu,10.84,306,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2820.99
